class,family,genus,species,subSpecies,scientificName,CW,WI,CS,CE,AW,AN,CC,HL,EP,GW,GE,Ic,FN,SF,KP,UN,YG,Tm,Ao,Kh,YK,A,B,C,D,E,N,arcticOccurence,arcticEndemicSpeciesAE,borderline,introduced,naturalized,nonNativeStableCasual,stableCasual,nativeCasual,paf,genusCount,familyCount
Angiospermae,Poaceae,Elymus,alaskanus,hyperarcticus,Elymus alaskanus hyperarcticus,s,s,r,s,r,f,r,r,r,r,s,-,-,-,-,-,r,r,r,s,-,-,R,F,F,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Elymus,macrourus,"",Elymus macrourus ,f,-,f,f,f,f,s,-,-,-,-,-,-,-,r,s,s,r,r,s,r,-,-,?,R,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Elymus,jacutensis,"",Elymus jacutensis ,r,-,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Elymus,fibrosus,fibrosus,Elymus fibrosus fibrosus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,s,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Elymus,fibrosus,subfibrosus,Elymus fibrosus subfibrosus,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,r,r,r,s,r,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Elymus,caninus,"",Elymus caninus ,-,-,-,-,-,-,-,-,-,-,-,r,r,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Elymus,confusus,"",Elymus confusus ,r,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Pseudoroegneria,"","",Pseudoroegneria  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3402,"",""
Angiospermae,Poaceae,Pseudoroegneria,spicata ,spicata,Pseudoroegneria spicata  spicata,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","",2,""
Angiospermae,Poaceae,Pseudoroegneria,strigosa,jacutorum,Pseudoroegneria strigosa jacutorum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Poaceae,Elytrigia,"","",Elytrigia  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3403,"",""
Angiospermae,Poaceae,Elytrigia,repens ,repens,Elytrigia repens  repens,-,-,-,-,*,-,-,*,-,*,-,*,*,-,*,*,-,-,-,-,-,-,-,-,-,*,F,1,"","",1,"","","","","",1,""
Angiospermae,Poaceae,Hystrix,"","",Hystrix  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3404,"",""
Angiospermae,Poaceae,Hystrix,sibirica,"",Hystrix sibirica ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,b,-,-,-,-,-,-,R,S,1,"","","","","","","","",1,""
Angiospermae,Poaceae,Leymus,"","",Leymus  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3405,"",""
Angiospermae,Poaceae,Leymus,mollis,mollis,Leymus mollis mollis,-,-,-,-,s,-,r,r,-,f,r,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,F,1,"","","","","","","","",6,""
Angiospermae,Poaceae,Leymus,mollis,villosissimus,Leymus mollis villosissimus,f,-,f,f,f,f,s,f,r,-,-,-,-,-,-,-,-,-,r,r,s,-,-,?,S,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Leymus,interior,"",Leymus interior ,s,r,s,s,-,-,-,-,-,-,-,-,-,-,-,-,-,r,s,f,-,-,-,-,R,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Leymus,arenarius,"",Leymus arenarius ,-,-,-,-,-,-,-,-,-,r,-,f,f,-,s,r,-,-,-,-,-,-,-,-,?,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Leymus,innovatus,innovatus,Leymus innovatus innovatus,-,-,-,-,-,s,r,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Leymus,innovatus,velutinus,Leymus innovatus velutinus,-,-,-,-,-,?,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Poaceae,Hordeum,"","",Hordeum  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3406,"",""
Angiospermae,Poaceae,Hordeum,jubatum,"",Hordeum jubatum ,**,**,*,**,*,*,r,r,-,-,-,**,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","",1,"","",3,""
Angiospermae,Poaceae,Hordeum,brachyantherum,"",Hordeum brachyantherum ,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,S,1,"","",1,"","","","","","",""
Angiospermae,Poaceae,Hordeum,brevisubulatum,"",Hordeum brevisubulatum ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-,-,-,-,*,S,1,"","",1,"","","","","","",""
Angiospermae,Poaceae,Bromopsis,"","",Bromopsis  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3407,"",""
Angiospermae,Poaceae,Bromopsis,pumpelliana,"",Bromopsis pumpelliana ,s,f,f,f,s,f,s,r,-,-,-,-,-,-,r,r,r,s,s,f,r,-,-,R,S,F,F,1,"","","","","","","","",3,""
Angiospermae,Poaceae,Bromopsis,inermis,"",Bromopsis inermis ,-,-,-,-,**,-,-,-,-,**,-,*,*,-,*,*,-,*,-,-,-,-,-,-,-,*,S,1,"","","","",1,"","","","",""
Angiospermae,Poaceae,Bromopsis,ciliata,"",Bromopsis ciliata ,-,-,-,-,r,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Anthoxanthum,"","",Anthoxanthum  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3408,"",""
Angiospermae,Poaceae,Anthoxanthum,nipponicum,"",Anthoxanthum nipponicum ,-,-,-,-,-,-,-,-,-,r,r,f,f,-,f,s,-,r,-,-,-,-,-,-,R,F,F,1,"","","","","","","","",2,""
Angiospermae,Poaceae,Anthoxanthum,odoratum,"",Anthoxanthum odoratum ,-,-,-,-,-,-,-,-,-,*,-,*,*,-,-,-,-,-,-,-,-,-,-,-,-,*,S,1,"","",1,"","","","","","",""
Angiospermae,Poaceae,Hierochloe,"","",Hierochloe  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3409,"",""
Angiospermae,Poaceae,Hierochloe,alpina,"",Hierochloe alpina ,f,f,f,f,f,f,f,f,f,f,f,-,s,s,s,f,f,f,f,f,s,-,S,F,F,F,F,1,"","","","","","","","",7,""
Angiospermae,Poaceae,Hierochloe,orthantha,"",Hierochloe orthantha ,-,-,-,-,-,-,-,s,-,s,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Hierochloe,odorata,odorata,Hierochloe odorata odorata,-,-,-,-,-,-,-,r,-,-,-,f,s,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Hierochloe,odorata,arctica,Hierochloe odorata arctica,r,-,s,r,r,s,r,s,-,r,-,-,s,-,s,s,r,r,-,-,-,-,-,-,R,S,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Hierochloe,odorata,kolymensis,Hierochloe odorata kolymensis,-,-,-,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Hierochloe,glabra,sibirica,Hierochloe glabra sibirica,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Poaceae,Hierochloe,pauciflora,"",Hierochloe pauciflora ,f,f,f,f,f,f,f,f,r,-,-,-,-,-,-,f,f,f,f,f,f,-,R,F,F,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Avenula,"","",Avenula  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3410,"",""
Angiospermae,Poaceae,Avenula,pubescens,"",Avenula pubescens ,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,b,F,1,"",1,"","","","","","",2,""
Angiospermae,Poaceae,Avenula,dahurica,"",Avenula dahurica ,s,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Helictotrichon,"","",Helictotrichon  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3411,"",""
Angiospermae,Poaceae,Helictotrichon,krylovii,"",Helictotrichon krylovii ,r,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","",1,""
Angiospermae,Poaceae,Trisetum,"","",Trisetum  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3412,"",""
Angiospermae,Poaceae,Trisetum,sibiricum,sibiricum,Trisetum sibiricum sibiricum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f,f,-,-,-,-,-,-,-,-,-,S,F,1,"","","","","","","","",5,""
Angiospermae,Poaceae,Trisetum,sibiricum,litorale,Trisetum sibiricum litorale,s,-,r,s,r,r,-,-,-,-,-,-,-,-,f,r,-,s,s,f,r,-,-,-,R,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Trisetum,subalpestre,"",Trisetum subalpestre ,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,r,r,s,-,-,-,-,?,R,R,1,"","","","","","","","","",""
Angiospermae,Poaceae,Trisetum,spicatum,spicatum,Trisetum spicatum spicatum,f,f,f,f,f,f,f,f,f,f,f,f,s,f,f,f,f,f,f,f,r,R,F,F,F,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Trisetum,spicatum,molle,Trisetum spicatum molle,s,-,s,s,s,s,r,r,-,f,s,s,-,-,-,-,-,r,r,r,r,-,-,?,S,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Koeleria,"","",Koeleria  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3413,"",""
Angiospermae,Poaceae,Koeleria,pyramidata,seminuda,Koeleria pyramidata seminuda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,R,F,1,"","","","","","","","",3,""
Angiospermae,Poaceae,Koeleria,glauca,pohleana,Koeleria glauca pohleana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,?,S,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Koeleria,asiatica,"",Koeleria asiatica ,f,f,r,r,r,s,r,-,-,-,-,-,-,-,-,s,f,f,f,f,r,-,-,-,R,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Sphenopholis,"","",Sphenopholis  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3414,"",""
Angiospermae,Poaceae,Sphenopholis,intermedia,"",Sphenopholis intermedia ,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,F,1,"",1,"","","","","","",1,""
Angiospermae,Poaceae,Deschampsia,"","",Deschampsia  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3415,"",""
Angiospermae,Poaceae,Deschampsia,cespitosa,"",Deschampsia cespitosa ,-,-,-,-,*,-,-,-,-,*,-,f,f,*,s,r,-,-,-,-,-,-,-,**,*,F,F,1,"","","",1,"","","","",9,""
Angiospermae,Poaceae,Deschampsia,alpina,"",Deschampsia alpina ,-,-,-,-,-,-,-,r,-,s,s,f,s,f,-,s,-,-,-,-,-,R,F,F,F,F,S,1,"","","","","","","","","",""
Angiospermae,Poaceae,Deschampsia,brevifolia,"",Deschampsia brevifolia ,-,s,r,r,r,f,f,r,f,r,s,-,-,-,-,-,-,s,s,s,s,F,F,F,S,S,R,1,"","","","","","","","","",""
Angiospermae,Poaceae,Deschampsia,anadyrensis,"",Deschampsia anadyrensis ,f,f,r,s,s,r,?,r,-,-,-,-,?,-,s,r,r,s,s,s,r,-,-,S,F,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Deschampsia,sukatschewii,sukatschewii,Deschampsia sukatschewii sukatschewii,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,-,?,-,-,-,R,S,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Deschampsia,sukatschewii,orientalis,Deschampsia sukatschewii orientalis,r,r,r,r,f,f,s,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Deschampsia,sukatschewii,borealis,Deschampsia sukatschewii borealis,f,f,s,r,r,r,r,r,r,s,s,-,-,s,r,s,s,f,s,s,s,-,?,S,F,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Deschampsia,obensis,"",Deschampsia obensis ,r,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,s,s,s,s,r,-,-,-,R,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Deschampsia,beringensis,"",Deschampsia beringensis ,-,-,-,-,s,-,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","",1,"","","","","",""
Angiospermae,Poaceae,Avenella,"","",Avenella  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3416,"",""
Angiospermae,Poaceae,Avenella,flexuosa,"",Avenella flexuosa ,-,-,-,-,-,-,-,r,-,s,s,f,f,-,f,s,r,-,-,-,-,-,-,-,R,F,F,1,"","","","","","","","",1,""
Angiospermae,Poaceae,Vahlodea,"","",Vahlodea  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3417,"",""
Angiospermae,Poaceae,Vahlodea,atropurpurea,"",Vahlodea atropurpurea ,-,-,-,-,-,-,-,s,-,s,r,-,s,-,r,r,-,-,-,-,-,-,-,-,-,S,F,1,"","","","","","","","",2,""
Angiospermae,Poaceae,Vahlodea,latifolia,paramushirensis,Vahlodea latifolia paramushirensis,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Poaceae,Milium,"","",Milium  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3418,"",""
Angiospermae,Poaceae,Milium,effusum,"",Milium effusum ,-,-,-,-,-,-,-,-,-,-,-,s,s,-,r,r,-,-,-,-,-,-,-,-,-,S,F,1,"","","","","","","","",1,""
Angiospermae,Poaceae,Calamagrostis,"","",Calamagrostis  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3419,"",""
Angiospermae,Poaceae,Calamagrostis,sesquiflora,"",Calamagrostis sesquiflora ,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","",17,""
Angiospermae,Poaceae,Calamagrostis,purpurascens,purpurascens,Calamagrostis purpurascens purpurascens,f,r,f,f,f,f,f,-,s,s,s,-,-,r,-,-,-,r,r,r,r,-,R,F,F,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,purpurascens,laricina,Calamagrostis purpurascens laricina,-,-,-,-,-,-,r,?,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,S,S,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,purpurascens,arctica,Calamagrostis purpurascens arctica,r,-,f,f,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,S,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,lapponica,lapponica,Calamagrostis lapponica lapponica,f,-,f,f,f,s,r,r,-,-,-,-,s,-,s,s,f,s,s,s,r,-,-,?,S,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,lapponica,sibirica,Calamagrostis lapponica sibirica,s,-,f,f,s,-,s,s,-,r,-,-,-,-,s,s,s,s,r,s,r,-,-,-,R,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,neglecta,neglecta,Calamagrostis neglecta neglecta,s,-,r,r,f,f,s,f,-,f,f,?,s,-,f,f,f,s,r,r,r,-,-,?,S,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,neglecta,groenlandica,Calamagrostis neglecta groenlandica,r,r,-,r,-,r,s,s,r,s,s,f,f,s,f,f,f,s,-,-,-,-,?,S,F,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,holmii,"",Calamagrostis holmii ,f,s,s,f,r,r,r,-,-,-,-,-,-,-,r,s,f,f,f,f,s,-,-,R,F,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,inexpansa,"",Calamagrostis inexpansa ,-,-,-,-,r,s,r,r,-,s,r,-,-,-,-,-,-,-,-,-,-,-,-,-,R,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,deschampsioides,"",Calamagrostis deschampsioides ,s,-,s,s,s,r,r,s,-,-,-,-,r,-,s,s,?,r,r,r,r,-,-,?,S,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,phragmitoides,"",Calamagrostis phragmitoides ,-,-,-,-,-,-,-,-,-,-,-,-,f,-,s,r,-,-,-,-,-,-,-,-,?,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,purpurea,"",Calamagrostis purpurea ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,?,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,tenuis,"",Calamagrostis tenuis ,r,-,s,s,s,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,?,S,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,canadensis,canadensis,Calamagrostis canadensis canadensis,-,-,-,-,s,s,r,?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,canadensis,langsdorfii,Calamagrostis canadensis langsdorfii,r,-,s,r,f,f,s,s,-,f,r,-,-,-,r,s,s,s,s,s,r,-,-,?,S,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Calamagrostis,epigeios,"",Calamagrostis epigeios ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,*,S,1,"","",1,"","","","","","",""
Angiospermae,Poaceae,Agrostis,"","",Agrostis  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3420,"",""
Angiospermae,Poaceae,Agrostis,stolonifera,"",Agrostis stolonifera ,-,-,-,-,*,-,-,*,-,r,*,f,f,-,s,r,r,-,-,-,-,-,-,-,?,S,F,1,"","","",1,"","","","",12,""
Angiospermae,Poaceae,Agrostis,gigantea,"",Agrostis gigantea ,-,-,-,-,-,-,-,-,-,r,-,-,r,-,r,r,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Agrostis,capillaris,"",Agrostis capillaris ,-,-,-,-,-,-,-,-,-,*,-,f,s,*,r,-,-,-,-,-,-,-,-,-,-,S,F,1,"","","",1,"","","","","",""
Angiospermae,Poaceae,Agrostis,exarata,"",Agrostis exarata ,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Poaceae,Agrostis,alaskana,"",Agrostis alaskana ,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,S,1,"",1,"","","","","","","",""
Angiospermae,Poaceae,Agrostis,canina,"",Agrostis canina ,-,-,-,-,-,-,-,-,-,-,-,-,r,-,*,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","",1,"","","","","",""
Angiospermae,Poaceae,Agrostis,vinealis,"",Agrostis vinealis ,-,-,-,-,-,-,-,-,-,s,r,f,r,-,-,-,-,-,-,-,-,-,-,R,S,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Agrostis,kudoi,"",Agrostis kudoi ,s,r,r,r,r,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,?,S,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Agrostis,mertensii,"",Agrostis mertensii ,-,-,-,-,r,r,r,f,-,f,f,-,f,-,f,f,r,-,-,-,-,-,-,R,F,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Agrostis,anadyrensis,"",Agrostis anadyrensis ,s,-,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Agrostis,clavata,"",Agrostis clavata ,*,-,-,*,-,-,-,-,-,-,-,-,-,-,*,-,*,-,-,-,-,-,-,-,-,*,S,1,"","",1,"","","","","","",""
Angiospermae,Poaceae,Agrostis,scabra,"",Agrostis scabra ,-,-,r,r,r,r,r,r,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Festuca,"","",Festuca  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3421,"",""
Angiospermae,Poaceae,Festuca,altaica,"",Festuca altaica ,s,-,s,s,f,f,r,-,r,-,-,-,-,-,-,-,-,r,r,s,r,-,-,-,R,F,F,1,"","","","","","","","",17,""
Angiospermae,Poaceae,Festuca,rubra,rubra,Festuca rubra rubra,f,s,f,f,f,s,r,r,-,s,s,?,f,r,s,s,s,s,s,s,r,-,-,R,S,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Festuca,rubra,richardsonii,Festuca rubra richardsonii,f,s,f,f,f,f,f,s,-,f,f,f,s,f,f,f,f,f,f,f,r,-,S,F,F,F,S,1,"","","","","","","","","",""
Angiospermae,Poaceae,Festuca,baffinensis,"",Festuca baffinensis ,s,s,-,s,r,f,f,f,f,r,f,-,-,s,-,r,-,-,-,-,r,-,S,F,F,F,S,1,"","","","","","","","","",""
Angiospermae,Poaceae,Festuca,brevissima,"",Festuca brevissima ,s,s,s,s,s,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Festuca,hyperborea,"",Festuca hyperborea ,-,-,-,-,-,-,s,s,s,r,s,-,-,r,-,-,-,r,-,-,?,S,F,F,S,R,-,1,1,"","","","","","","","",""
Angiospermae,Poaceae,Festuca,edlundiae,"",Festuca edlundiae ,-,r,-,X,-,r,s,s,s,r,r,-,-,f,-,-,-,-,-,-,?,R,F,F,S,R,-,1,1,"","","","","","","","",""
Angiospermae,Poaceae,Festuca,brachyphylla,"",Festuca brachyphylla ,f,f,f,f,s,f,f,f,s,f,f,-,-,r,r,s,f,f,f,f,f,R,F,F,F,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Festuca,groenlandica,"",Festuca groenlandica ,-,-,-,-,-,-,-,-,-,r,r,-,-,-,-,-,-,-,-,-,-,-,-,R,S,S,-,1,1,"","","","","","","","",""
Angiospermae,Poaceae,Festuca,vivipara,"",Festuca vivipara ,-,-,-,-,-,-,-,-,r,s,s,f,s,-,-,-,?,-,-,-,-,-,-,?,S,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Festuca,frederikseniae,"",Festuca frederikseniae ,-,-,-,-,-,-,-,-,-,s,s,-,-,?,-,-,-,-,-,-,-,-,R,F,F,F,R,1,"","","","","","","","","",""
Angiospermae,Poaceae,Festuca,viviparoidea,"",Festuca viviparoidea ,s,f,s,f,s,f,-,-,r,-,s,-,-,f,-,f,r,f,-,-,-,-,R,F,F,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Festuca,lenensis,"",Festuca lenensis ,s,r,r,r,f,f,-,-,-,-,-,-,-,-,-,-,-,-,-,r,r,-,-,-,R,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Festuca,auriculata,"",Festuca auriculata ,s,s,s,s,-,r,-,-,-,-,-,-,-,-,-,r,-,s,r,f,r,-,R,S,F,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Festuca,saximontana,"",Festuca saximontana ,-,-,-,?,-,-,-,r,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Festuca,kolymensis,"",Festuca kolymensis ,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Poaceae,Festuca,ovina ,ovina,Festuca ovina  ovina,-,-,-,-,-,-,-,-,-,-,-,-,f,-,f,s,f,r,r,-,r,-,-,-,?,F,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Schedonorus,"","",Schedonorus  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3422,"",""
Angiospermae,Poaceae,Schedonorus,pratensis,"",Schedonorus pratensis ,**,-,-,-,**,-,-,-,-,*,-,*,*,-,-,-,-,**,-,-,-,-,-,-,-,*,*,1,"","","","",1,"","","",1,""
Angiospermae,Poaceae,Lolium,"","",Lolium  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3423,"",""
Angiospermae,Poaceae,Lolium,perenne,"",Lolium perenne ,-,-,-,-,**,-,-,-,-,**,-,*,**,-,-,-,-,-,-,-,-,-,-,-,-,*,*,1,"","","","",1,"","","",1,""
Angiospermae,Poaceae,Arctopoa,"","",Arctopoa  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3424,"",""
Angiospermae,Poaceae,Arctopoa,eminens,"",Arctopoa eminens ,-,-,r,s,f,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,F,1,"","","","","","","","",3,""
Angiospermae,Poaceae,Arctopoa,trautvetteri,"",Arctopoa trautvetteri ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,r,r,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Poaceae,Arctopoa,subfastigiata,"",Arctopoa subfastigiata ,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,S,1,"","",1,"","","","","","",""
Angiospermae,Poaceae,Poa,"","",Poa  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3425,"",""
Angiospermae,Poaceae,Poa,alpina var. alpina,"",Poa alpina var. alpina ,-,-,-,r,r,s,r,f,-,f,f,f,f,r,f,f,s,s,-,-,-,-,R,F,F,F,F,1,"","","","","","","","",36,""
Angiospermae,Poaceae,Poa,alpina var. vivipara,"",Poa alpina var. vivipara ,-,-,-,-,-,-,-,-,-,-,s,r,r,f,r,s,-,-,-,-,-,R,F,F,F,S,R,1,"","","","","","","","","",""
